ID,raw_event_ID,start_time,end_time,player_ID,team_ID,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross
20180915-RGN-POR-0,20180915-RGN-POR-2,0:00,0:12,Jessica Anne Fishlock,RGN,1st half,52.5,34.2,1,Alexandra Linsley Long Batista,35.5,34.7,0
20180915-RGN-POR-1,20180915-RGN-POR-4,0:00,0:15,Alexandra Linsley Long Batista,RGN,1st half,35.5,34.7,1,Jessica Anne Fishlock,52.5,34.2,0
20180915-RGN-POR-2,20180915-RGN-POR-8,0:00,0:20,Lauren Kate Barnes,RGN,1st half,46.4,56.0,1,Megan Anna Rapinoe,64.1,58.2,0
20180915-RGN-POR-3,20180915-RGN-POR-16,0:05,0:25,Megan Anna Rapinoe,RGN,1st half,71.8,55.3,1,Theresa Eslund,80.4,14.8,0
20180915-RGN-POR-4,20180915-RGN-POR-22,0:09,0:29,Theresa Eslund,RGN,1st half,88.6,15.6,0,Adrianna Nichole Franch,101.0,33.5,1
20180915-RGN-POR-5,20180915-RGN-POR-28,0:16,0:36,Adrianna Nichole Franch,POR,1st half,12.0,28.5,1,Caitlin Jade Foord,57.8,33.0,0
20180915-RGN-POR-6,20180915-RGN-POR-41,0:44,1:04,Lauren Kate Barnes,RGN,1st half,34.9,47.4,1,Megan Leigh Oyster,32.1,13.6,0
20180915-RGN-POR-7,20180915-RGN-POR-45,0:48,1:08,Megan Leigh Oyster,RGN,1st half,28.8,15.8,1,Lydia Grace Yilkari Williams,18.1,34.5,0
20180915-RGN-POR-8,20180915-RGN-POR-47,0:51,1:11,Lydia Grace Yilkari Williams,RGN,1st half,19.3,36.9,1,Lauren Kate Barnes,28.1,50.5,0
20180915-RGN-POR-9,20180915-RGN-POR-51,0:54,1:14,Lauren Kate Barnes,RGN,1st half,32.3,52.4,1,Rumi Utsugi,41.4,47.4,0
20180915-RGN-POR-10,20180915-RGN-POR-53,0:55,1:15,Rumi Utsugi,RGN,1st half,41.4,47.4,1,Lauren Kate Barnes,33.8,58.9,0
20180915-RGN-POR-11,20180915-RGN-POR-56,0:59,1:19,Lauren Kate Barnes,RGN,1st half,38.4,62.7,0,Emily Ann Sonnett,91.4,63.2,0
20180915-RGN-POR-12,20180915-RGN-POR-61,1:10,1:30,Megan Anna Rapinoe,RGN,1st half,91.6,68.0,1,Stephanie-Elise Catley,80.4,65.1,0
20180915-RGN-POR-13,20180915-RGN-POR-64,1:13,1:33,Stephanie-Elise Catley,RGN,1st half,81.7,63.5,0,Lindsey Michelle Horan,91.6,45.7,1
20180915-RGN-POR-14,20180915-RGN-POR-70,1:14,1:34,Lindsey Michelle Horan,POR,1st half,13.4,22.3,0,Megan Anna Rapinoe,18.5,5.5,0
20180915-RGN-POR-15,20180915-RGN-POR-76,1:18,1:38,Megan Anna Rapinoe,RGN,1st half,85.3,56.3,1,Jessica Anne Fishlock,82.7,40.5,0
20180915-RGN-POR-16,20180915-RGN-POR-86,2:06,2:26,Rumi Utsugi,RGN,1st half,79.6,36.6,1,Stephanie-Elise Catley,89.9,48.4,0
20180915-RGN-POR-17,20180915-RGN-POR-91,2:07,2:27,Stephanie-Elise Catley,RGN,1st half,89.9,48.4,0,Margaret Purce,91.1,44.3,0
20180915-RGN-POR-18,20180915-RGN-POR-102,2:12,2:32,Lauren Kate Barnes,RGN,1st half,56.7,51.7,1,Megan Anna Rapinoe,95.6,55.5,0
20180915-RGN-POR-19,20180915-RGN-POR-105,2:48,3:08,Adrianna Nichole Franch,POR,1st half,5.2,39.3,0,Rumi Utsugi,58.0,56.5,0
20180915-RGN-POR-20,20180915-RGN-POR-111,2:51,3:11,Rumi Utsugi,RGN,1st half,47.0,11.5,0,Celeste Anais Boureille,57.1,21.1,0
20180915-RGN-POR-21,20180915-RGN-POR-113,2:52,3:12,Celeste Anais Boureille,POR,1st half,47.9,46.9,0,Jessica Anne Fishlock,50.2,37.6,0
20180915-RGN-POR-22,20180915-RGN-POR-123,2:57,3:17,Lindsey Michelle Horan,POR,1st half,48.3,40.0,0,Rumi Utsugi,55.7,31.8,0
20180915-RGN-POR-23,20180915-RGN-POR-127,2:58,3:18,Rumi Utsugi,RGN,1st half,49.3,36.2,1,Megan Anna Rapinoe,57.1,37.8,0
20180915-RGN-POR-24,20180915-RGN-POR-130,2:59,3:19,Megan Anna Rapinoe,RGN,1st half,57.1,37.8,1,Jessica Anne Fishlock,62.4,35.9,0
20180915-RGN-POR-25,20180915-RGN-POR-137,3:02,3:22,Jessica Anne Fishlock,RGN,1st half,68.0,44.3,0,Ellie Madison Carpenter,94.9,52.7,0
20180915-RGN-POR-26,20180915-RGN-POR-141,3:14,3:34,Stephanie-Elise Catley,RGN,1st half,97.9,68.0,1,Rumi Utsugi,90.9,64.4,0
20180915-RGN-POR-27,20180915-RGN-POR-144,3:15,3:35,Rumi Utsugi,RGN,1st half,90.9,64.4,1,Stephanie-Elise Catley,97.7,66.8,0
20180915-RGN-POR-28,20180915-RGN-POR-150,3:46,4:06,Megan Anna Rapinoe,RGN,1st half,105.0,68.0,1,Jasmyne Spencer,103.3,48.4,0
20180915-RGN-POR-29,20180915-RGN-POR-153,3:48,4:08,Jasmyne Spencer,RGN,1st half,102.7,51.7,1,Megan Anna Rapinoe,98.5,60.1,0
20180915-RGN-POR-30,20180915-RGN-POR-157,3:49,4:09,Megan Anna Rapinoe,RGN,1st half,98.5,60.1,0,Lindsey Michelle Horan,96.6,36.9,1
20180915-RGN-POR-31,20180915-RGN-POR-164,3:54,4:14,Christine Margaret Sinclair,POR,1st half,12.0,62.7,0,Lauren Kate Barnes,35.3,63.0,0
20180915-RGN-POR-32,20180915-RGN-POR-172,4:20,4:40,Adrianna Nichole Franch,POR,1st half,5.0,37.4,1,Lindsey Michelle Horan,51.9,57.2,0
20180915-RGN-POR-33,20180915-RGN-POR-178,4:50,5:10,Emily Ann Sonnett,POR,1st half,48.9,50.5,0,Alexandra Linsley Long Batista,91.1,30.9,0
20180915-RGN-POR-34,20180915-RGN-POR-182,4:53,5:13,Alexandra Linsley Long Batista,RGN,1st half,13.9,37.1,1,Rumi Utsugi,21.2,44.3,0
20180915-RGN-POR-35,20180915-RGN-POR-186,4:54,5:14,Rumi Utsugi,RGN,1st half,21.2,44.3,0,Celeste Anais Boureille,41.4,46.2,0
20180915-RGN-POR-36,20180915-RGN-POR-190,4:58,5:18,Celeste Anais Boureille,POR,1st half,58.0,27.8,1,Emily Townsend Menges,50.0,30.4,0
20180915-RGN-POR-37,20180915-RGN-POR-194,5:01,5:21,Emily Townsend Menges,POR,1st half,47.9,34.5,1,Emily Ann Sonnett,45.6,45.5,0
20180915-RGN-POR-38,20180915-RGN-POR-197,5:03,5:23,Emily Ann Sonnett,POR,1st half,46.2,47.2,1,Meghan Elizabeth Klingenberg,74.3,45.3,0
20180915-RGN-POR-39,20180915-RGN-POR-200,5:05,5:25,Meghan Elizabeth Klingenberg,POR,1st half,48.1,64.4,0,Lauren Kate Barnes,74.3,45.3,0
20180915-RGN-POR-40,20180915-RGN-POR-203,5:07,5:27,Lauren Kate Barnes,RGN,1st half,30.7,22.7,1,Alexandra Linsley Long Batista,36.8,13.2,0
20180915-RGN-POR-41,20180915-RGN-POR-204,5:10,5:30,Alexandra Linsley Long Batista,RGN,1st half,36.8,13.2,1,Theresa Eslund,35.5,2.4,0
20180915-RGN-POR-42,20180915-RGN-POR-205,5:12,5:32,Theresa Eslund,RGN,1st half,35.5,2.4,1,Alexandra Linsley Long Batista,27.9,5.5,0
20180915-RGN-POR-43,20180915-RGN-POR-206,5:16,5:36,Alexandra Linsley Long Batista,RGN,1st half,27.9,5.5,1,Megan Leigh Oyster,7.6,5.5,0
20180915-RGN-POR-44,20180915-RGN-POR-207,5:18,5:38,Megan Leigh Oyster,RGN,1st half,7.6,5.5,1,Jessica Anne Fishlock,44.5,8.6,0
20180915-RGN-POR-45,20180915-RGN-POR-217,5:25,5:45,Lindsey Michelle Horan,POR,1st half,55.7,67.5,1,Meghan Elizabeth Klingenberg,41.8,67.0,0
20180915-RGN-POR-46,20180915-RGN-POR-221,5:28,5:48,Meghan Elizabeth Klingenberg,POR,1st half,37.8,65.8,1,Adrianna Nichole Franch,9.0,40.2,0
20180915-RGN-POR-47,20180915-RGN-POR-224,5:33,5:53,Adrianna Nichole Franch,POR,1st half,10.1,36.4,1,Margaret Purce,44.9,15.3,0
20180915-RGN-POR-48,20180915-RGN-POR-227,6:00,6:20,Stephanie-Elise Catley,RGN,1st half,35.9,68.0,1,Jessica Anne Fishlock,47.9,63.2,0
20180915-RGN-POR-49,20180915-RGN-POR-228,6:01,6:21,Jessica Anne Fishlock,RGN,1st half,47.9,63.2,0,Margaret Purce,44.3,64.4,0
20180915-RGN-POR-50,20180915-RGN-POR-232,6:05,6:25,Megan Anna Rapinoe,RGN,1st half,50.4,68.0,0,Emily Ann Sonnett,72.7,57.5,0
20180915-RGN-POR-51,20180915-RGN-POR-236,6:06,6:26,Emily Ann Sonnett,POR,1st half,32.3,10.5,0,Rumi Utsugi,54.6,13.2,0
20180915-RGN-POR-52,20180915-RGN-POR-240,6:08,6:28,Rumi Utsugi,RGN,1st half,50.4,54.8,1,Jasmyne Spencer,78.5,36.2,0
20180915-RGN-POR-53,20180915-RGN-POR-247,6:13,6:33,Emily Townsend Menges,POR,1st half,31.3,39.3,1,Tobin Powell Powell Heath,45.2,61.8,0
20180915-RGN-POR-54,20180915-RGN-POR-259,6:58,7:18,Emily Ann Sonnett,POR,1st half,55.9,63.5,1,Lindsey Michelle Horan,87.6,34.7,0
20180915-RGN-POR-55,20180915-RGN-POR-269,7:02,7:22,Stephanie-Elise Catley,RGN,1st half,16.8,29.2,1,Jodie Lee Taylor,30.4,28.3,0
20180915-RGN-POR-56,20180915-RGN-POR-272,7:05,7:25,Meghan Elizabeth Klingenberg,POR,1st half,73.1,47.9,1,Tobin Powell Powell Heath,74.8,57.7,0
20180915-RGN-POR-57,20180915-RGN-POR-287,7:11,7:31,Tobin Powell Powell Heath,POR,1st half,95.1,62.5,0,Rumi Utsugi,93.4,39.5,1
20180915-RGN-POR-58,20180915-RGN-POR-291,7:12,7:32,Rumi Utsugi,RGN,1st half,11.6,28.5,1,Megan Anna Rapinoe,27.7,33.3,0
20180915-RGN-POR-59,20180915-RGN-POR-294,7:13,7:33,Megan Anna Rapinoe,RGN,1st half,27.7,33.3,0,Celeste Anais Boureille,29.8,25.6,0
20180915-RGN-POR-60,20180915-RGN-POR-299,7:16,7:36,Celeste Anais Boureille,POR,1st half,79.8,45.7,0,Rumi Utsugi,84.2,46.2,0
20180915-RGN-POR-61,20180915-RGN-POR-304,7:25,7:45,Meghan Elizabeth Klingenberg,POR,1st half,86.1,68.0,1,Christine Margaret Sinclair,93.4,59.1,0
20180915-RGN-POR-62,20180915-RGN-POR-307,7:28,7:48,Christine Margaret Sinclair,POR,1st half,90.7,62.3,1,Lindsey Michelle Horan,83.6,57.7,0
20180915-RGN-POR-63,20180915-RGN-POR-310,7:32,7:52,Lindsey Michelle Horan,POR,1st half,84.2,57.0,1,Christine Margaret Sinclair,91.8,52.0,0
20180915-RGN-POR-64,20180915-RGN-POR-324,8:26,8:46,Lauren Kate Barnes,RGN,1st half,27.9,61.3,1,Rumi Utsugi,39.3,57.0,0
20180915-RGN-POR-65,20180915-RGN-POR-325,8:27,8:47,Rumi Utsugi,RGN,1st half,39.3,57.0,1,Lauren Kate Barnes,29.2,63.5,0
20180915-RGN-POR-66,20180915-RGN-POR-334,8:29,8:49,Lauren Kate Barnes,RGN,1st half,28.8,63.7,1,Rumi Utsugi,37.6,53.2,0
20180915-RGN-POR-67,20180915-RGN-POR-336,8:32,8:52,Rumi Utsugi,RGN,1st half,33.2,56.0,1,Lauren Kate Barnes,24.4,57.5,0
20180915-RGN-POR-68,20180915-RGN-POR-340,8:34,8:54,Lauren Kate Barnes,RGN,1st half,22.7,55.5,1,Lydia Grace Yilkari Williams,9.4,40.5,0
20180915-RGN-POR-69,20180915-RGN-POR-342,8:40,9:00,Lydia Grace Yilkari Williams,RGN,1st half,14.7,36.9,1,Stephanie-Elise Catley,48.3,63.0,0
20180915-RGN-POR-70,20180915-RGN-POR-346,8:45,9:05,Stephanie-Elise Catley,RGN,1st half,54.2,62.0,1,Rumi Utsugi,47.2,58.2,0
20180915-RGN-POR-71,20180915-RGN-POR-348,8:46,9:06,Rumi Utsugi,RGN,1st half,47.2,58.2,1,Megan Anna Rapinoe,75.8,66.3,0
20180915-RGN-POR-72,20180915-RGN-POR-353,9:05,9:25,Ellie Madison Carpenter,POR,1st half,36.5,2.4,1,Emily Ann Sonnett,31.9,11.3,0
20180915-RGN-POR-73,20180915-RGN-POR-354,9:08,9:28,Emily Ann Sonnett,POR,1st half,31.9,11.3,1,Lindsey Michelle Horan,35.5,23.9,0
20180915-RGN-POR-74,20180915-RGN-POR-355,9:09,9:29,Lindsey Michelle Horan,POR,1st half,35.5,23.9,1,Emily Townsend Menges,20.8,29.0,0
20180915-RGN-POR-75,20180915-RGN-POR-356,9:11,9:31,Emily Townsend Menges,POR,1st half,20.8,29.0,0,Stephanie-Elise Catley,49.8,0.0,0
20180915-RGN-POR-76,20180915-RGN-POR-357,9:28,9:48,Stephanie-Elise Catley,RGN,1st half,55.2,68.0,1,Megan Anna Rapinoe,63.6,64.2,0
20180915-RGN-POR-77,20180915-RGN-POR-359,9:29,9:49,Megan Anna Rapinoe,RGN,1st half,63.6,64.2,1,Stephanie-Elise Catley,58.4,62.0,0
20180915-RGN-POR-78,20180915-RGN-POR-362,9:31,9:51,Stephanie-Elise Catley,RGN,1st half,60.1,60.6,1,Rumi Utsugi,55.2,58.4,0
20180915-RGN-POR-79,20180915-RGN-POR-365,9:34,9:54,Rumi Utsugi,RGN,1st half,56.9,63.9,0,Celeste Anais Boureille,66.2,58.4,0
20180915-RGN-POR-80,20180915-RGN-POR-370,9:36,9:56,Celeste Anais Boureille,POR,1st half,44.5,10.1,1,Caitlin Jade Foord,59.6,13.9,0
20180915-RGN-POR-81,20180915-RGN-POR-372,9:37,9:57,Caitlin Jade Foord,POR,1st half,59.6,13.9,1,Christine Margaret Sinclair,56.1,7.2,0
20180915-RGN-POR-82,20180915-RGN-POR-375,9:40,10:00,Christine Margaret Sinclair,POR,1st half,54.2,10.3,1,Tobin Powell Powell Heath,71.4,23.0,0
20180915-RGN-POR-83,20180915-RGN-POR-382,9:43,10:03,Megan Leigh Oyster,RGN,1st half,36.1,45.3,1,Alexandra Linsley Long Batista,39.3,44.3,0
20180915-RGN-POR-84,20180915-RGN-POR-384,9:47,10:07,Alexandra Linsley Long Batista,RGN,1st half,46.2,34.5,1,Jasmyne Spencer,48.3,21.3,0
20180915-RGN-POR-85,20180915-RGN-POR-395,9:55,10:15,Christine Margaret Sinclair,POR,1st half,39.7,40.0,1,Caitlin Jade Foord,46.0,49.3,0
20180915-RGN-POR-86,20180915-RGN-POR-400,10:01,10:21,Caitlin Jade Foord,POR,1st half,78.5,45.5,0,Rumi Utsugi,79.8,44.8,0
20180915-RGN-POR-87,20180915-RGN-POR-407,10:05,10:25,Megan Leigh Oyster,RGN,1st half,13.7,17.2,1,Theresa Eslund,26.2,5.5,0
20180915-RGN-POR-88,20180915-RGN-POR-412,10:10,10:30,Theresa Eslund,RGN,1st half,26.5,1.9,1,Jasmyne Spencer,45.4,5.5,0
20180915-RGN-POR-89,20180915-RGN-POR-421,10:35,10:55,Megan Leigh Oyster,RGN,1st half,46.6,6.0,1,Jessica Anne Fishlock,69.3,10.8,0
20180915-RGN-POR-90,20180915-RGN-POR-424,10:38,10:58,Jessica Anne Fishlock,RGN,1st half,75.4,8.6,1,Jasmyne Spencer,81.5,5.7,0
20180915-RGN-POR-91,20180915-RGN-POR-431,10:43,11:03,Meghan Elizabeth Klingenberg,POR,1st half,38.2,66.1,0,Megan Leigh Oyster,58.4,63.0,0
20180915-RGN-POR-92,20180915-RGN-POR-434,10:48,11:08,Megan Leigh Oyster,RGN,1st half,52.5,2.2,1,Lauren Kate Barnes,35.1,14.6,0
20180915-RGN-POR-93,20180915-RGN-POR-436,10:51,11:11,Lauren Kate Barnes,RGN,1st half,35.9,18.4,1,Alexandra Linsley Long Batista,40.9,27.3,0
20180915-RGN-POR-94,20180915-RGN-POR-440,10:56,11:16,Alexandra Linsley Long Batista,RGN,1st half,44.9,38.8,1,Lauren Kate Barnes,37.4,29.9,0
20180915-RGN-POR-95,20180915-RGN-POR-442,10:58,11:18,Lauren Kate Barnes,RGN,1st half,37.4,29.9,1,Alexandra Linsley Long Batista,47.7,30.6,0
20180915-RGN-POR-96,20180915-RGN-POR-445,11:00,11:20,Alexandra Linsley Long Batista,RGN,1st half,48.9,28.5,1,Theresa Eslund,85.5,1.7,0
20180915-RGN-POR-97,20180915-RGN-POR-448,11:04,11:24,Theresa Eslund,RGN,1st half,85.5,1.7,1,Jasmyne Spencer,97.0,15.1,0
20180915-RGN-POR-98,20180915-RGN-POR-453,11:46,12:06,Stephanie-Elise Catley,RGN,1st half,105.0,0.0,1,Theresa Eslund,89.0,3.1,0
20180915-RGN-POR-99,20180915-RGN-POR-468,11:56,12:16,Lauren Kate Barnes,RGN,1st half,57.8,33.3,1,Jessica Anne Fishlock,94.3,1.4,0
20180915-RGN-POR-100,20180915-RGN-POR-477,12:05,12:25,Meghan Elizabeth Klingenberg,POR,1st half,1.5,65.1,1,Tobin Powell Powell Heath,5.9,65.8,0
20180915-RGN-POR-101,20180915-RGN-POR-478,12:09,12:29,Tobin Powell Powell Heath,POR,1st half,5.9,65.8,1,Meghan Elizabeth Klingenberg,30.4,67.0,0
20180915-RGN-POR-102,20180915-RGN-POR-480,12:10,12:30,Meghan Elizabeth Klingenberg,POR,1st half,0.8,63.2,0,Megan Leigh Oyster,30.4,67.0,0
20180915-RGN-POR-103,20180915-RGN-POR-482,12:13,12:33,Megan Leigh Oyster,RGN,1st half,74.6,1.0,1,Alexandra Linsley Long Batista,85.1,4.5,0
20180915-RGN-POR-104,20180915-RGN-POR-495,12:59,13:19,Adrianna Nichole Franch,POR,1st half,17.9,62.5,0,Theresa Eslund,70.8,62.7,0
20180915-RGN-POR-105,20180915-RGN-POR-497,13:02,13:22,Theresa Eslund,RGN,1st half,34.2,5.3,1,Jasmyne Spencer,46.2,4.1,0
20180915-RGN-POR-106,20180915-RGN-POR-502,13:04,13:24,Jasmyne Spencer,RGN,1st half,42.4,3.1,1,Megan Leigh Oyster,28.1,2.6,0
20180915-RGN-POR-107,20180915-RGN-POR-504,13:05,13:25,Megan Leigh Oyster,RGN,1st half,28.1,2.6,0,Emily Ann Sonnett,69.9,17.0,0
20180915-RGN-POR-108,20180915-RGN-POR-508,13:10,13:30,Emily Ann Sonnett,POR,1st half,34.9,45.7,0,Lauren Kate Barnes,72.2,29.7,0
20180915-RGN-POR-109,20180915-RGN-POR-513,13:16,13:36,Stephanie-Elise Catley,RGN,1st half,48.5,56.7,0,Ellie Madison Carpenter,68.0,68.0,0
20180915-RGN-POR-110,20180915-RGN-POR-516,13:37,13:57,Ellie Madison Carpenter,POR,1st half,37.0,0.0,1,Christine Margaret Sinclair,54.4,6.9,0
20180915-RGN-POR-111,20180915-RGN-POR-523,13:38,13:58,Rumi Utsugi,RGN,1st half,50.6,61.1,0,Lindsey Michelle Horan,55.2,56.3,0
20180915-RGN-POR-112,20180915-RGN-POR-527,13:40,14:00,Lindsey Michelle Horan,POR,1st half,49.8,11.7,0,Stephanie-Elise Catley,62.4,7.7,0
20180915-RGN-POR-113,20180915-RGN-POR-531,13:41,14:01,Stephanie-Elise Catley,RGN,1st half,42.6,61.1,1,Jessica Anne Fishlock,48.3,51.2,0
20180915-RGN-POR-114,20180915-RGN-POR-535,13:45,14:05,Jessica Anne Fishlock,RGN,1st half,48.7,57.2,1,Stephanie-Elise Catley,44.3,63.0,0
20180915-RGN-POR-115,20180915-RGN-POR-537,13:47,14:07,Stephanie-Elise Catley,RGN,1st half,44.3,63.0,1,Lauren Kate Barnes,40.1,56.7,0
20180915-RGN-POR-116,20180915-RGN-POR-539,13:48,14:08,Rumi Utsugi,RGN,1st half,41.6,57.7,1,Alexandra Linsley Long Batista,38.6,45.5,0
20180915-RGN-POR-117,20180915-RGN-POR-542,13:52,14:12,Alexandra Linsley Long Batista,RGN,1st half,38.0,36.9,1,Theresa Eslund,75.2,2.9,0
20180915-RGN-POR-118,20180915-RGN-POR-550,13:58,14:18,Theresa Eslund,RGN,1st half,86.5,1.7,0,Adrianna Nichole Franch,99.3,32.1,1
20180915-RGN-POR-119,20180915-RGN-POR-553,14:01,14:21,Adrianna Nichole Franch,POR,1st half,9.0,38.3,1,Lindsey Michelle Horan,26.5,51.5,0
20180915-RGN-POR-120,20180915-RGN-POR-559,14:40,15:00,Adrianna Nichole Franch,POR,1st half,28.1,49.6,0,Rumi Utsugi,71.6,45.3,0
20180915-RGN-POR-121,20180915-RGN-POR-561,14:42,15:02,Rumi Utsugi,RGN,1st half,33.4,22.7,1,Jessica Anne Fishlock,39.1,17.5,0
20180915-RGN-POR-122,20180915-RGN-POR-568,14:44,15:04,Celeste Anais Boureille,POR,1st half,65.9,50.5,0,Theresa Eslund,74.3,51.2,0
20180915-RGN-POR-123,20180915-RGN-POR-572,14:46,15:06,Theresa Eslund,RGN,1st half,30.7,16.8,1,Jodie Lee Taylor,72.5,12.9,0
20180915-RGN-POR-124,20180915-RGN-POR-580,14:51,15:11,Emily Townsend Menges,POR,1st half,37.2,53.9,0,Jasmyne Spencer,38.6,53.6,0
20180915-RGN-POR-125,20180915-RGN-POR-592,15:03,15:23,Stephanie-Elise Catley,RGN,1st half,78.5,68.0,1,Megan Anna Rapinoe,85.7,59.6,0
20180915-RGN-POR-126,20180915-RGN-POR-597,15:07,15:27,Megan Anna Rapinoe,RGN,1st half,81.7,48.1,0,Lindsey Michelle Horan,81.3,46.9,0
20180915-RGN-POR-127,20180915-RGN-POR-603,15:13,15:33,Christine Margaret Sinclair,POR,1st half,38.0,6.0,0,Megan Leigh Oyster,93.4,10.3,0
20180915-RGN-POR-128,20180915-RGN-POR-604,15:18,15:38,Megan Leigh Oyster,RGN,1st half,11.6,57.7,1,Lydia Grace Yilkari Williams,2.1,44.5,0
20180915-RGN-POR-129,20180915-RGN-POR-606,15:20,15:40,Lydia Grace Yilkari Williams,RGN,1st half,2.1,44.5,0,Ellie Madison Carpenter,7.6,68.0,0
20180915-RGN-POR-130,20180915-RGN-POR-609,15:50,16:10,Ellie Madison Carpenter,POR,1st half,97.4,0.0,1,Margaret Purce,98.1,23.0,0
20180915-RGN-POR-131,20180915-RGN-POR-615,15:52,16:12,Margaret Purce,POR,1st half,98.1,23.0,1,Tobin Powell Powell Heath,0.0,0.0,0
20180915-RGN-POR-132,20180915-RGN-POR-628,16:27,16:47,Tobin Powell Powell Heath,POR,1st half,104.6,0.5,1,Celeste Anais Boureille,101.0,25.9,0
20180915-RGN-POR-133,20180915-RGN-POR-636,16:52,17:12,Ellie Madison Carpenter,POR,1st half,80.0,0.0,0,Alexandra Linsley Long Batista,96.6,21.5,0
20180915-RGN-POR-134,20180915-RGN-POR-677,17:04,17:24,Rumi Utsugi,RGN,1st half,7.6,30.4,1,Jessica Anne Fishlock,8.2,22.7,0
20180915-RGN-POR-135,20180915-RGN-POR-695,17:38,17:58,Tobin Powell Powell Heath,POR,1st half,105.0,68.0,0,Lydia Grace Yilkari Williams,101.6,36.6,0
20180915-RGN-POR-136,20180915-RGN-POR-707,17:45,18:05,Meghan Elizabeth Klingenberg,POR,1st half,58.4,51.0,1,Emily Townsend Menges,55.0,58.2,0
20180915-RGN-POR-137,20180915-RGN-POR-709,17:47,18:07,Emily Townsend Menges,POR,1st half,55.0,58.2,1,Tobin Powell Powell Heath,73.1,67.3,0
20180915-RGN-POR-138,20180915-RGN-POR-713,17:55,18:15,Tobin Powell Powell Heath,POR,1st half,76.9,52.2,1,Celeste Anais Boureille,92.2,59.9,0
