ID,raw_event_ID,start_time,end_time,player_ID,team_ID,action,half,successful,pos_x,pos_y
20190719-POR-UTA-0,20190719-POR-UTA-10,0:00,0:16,Elizabeth Rose Ball,POR,recovery,1st half,null,21.4,19.9
20190719-POR-UTA-1,20190719-POR-UTA-16,0:01,0:21,Margaret Purce,POR,challenge,1st half,0,58.1,6.0
20190719-POR-UTA-2,20190719-POR-UTA-17,0:01,0:21,Becky Sauerbrunn,UTA,challenge,1st half,1,46.9,62.0
20190719-POR-UTA-3,20190719-POR-UTA-23,0:04,0:24,Rachel Louise Corsie,UTA,recovery,1st half,null,38.2,42.1
20190719-POR-UTA-4,20190719-POR-UTA-30,0:10,0:30,Ellie Madison Carpenter,POR,recovery,1st half,null,23.6,23.5
20190719-POR-UTA-5,20190719-POR-UTA-46,0:21,0:41,Adrianna Nichole Franch,POR,recovery,1st half,null,4.4,35.7
20190719-POR-UTA-6,20190719-POR-UTA-49,0:29,0:49,Rachel Louise Corsie,UTA,recovery,1st half,null,39.4,20.7
20190719-POR-UTA-7,20190719-POR-UTA-68,0:44,1:04,Gunnhildur Yrsa Jonsdottir,UTA,recovery,1st half,null,55.5,1.8
20190719-POR-UTA-8,20190719-POR-UTA-98,1:27,1:47,Rachel Louise Corsie,UTA,recovery,1st half,null,22.2,48.3
20190719-POR-UTA-9,20190719-POR-UTA-106,1:32,1:52,Christine Margaret Sinclair,POR,challenge,1st half,0,66.5,42.7
20190719-POR-UTA-10,20190719-POR-UTA-107,1:32,1:52,Christine Margaret Sinclair,POR,take_on,1st half,0,66.5,42.7
20190719-POR-UTA-11,20190719-POR-UTA-108,1:32,1:52,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,1,38.5,25.3
20190719-POR-UTA-12,20190719-POR-UTA-109,1:32,1:52,Gunnhildur Yrsa Jonsdottir,UTA,tackle,1st half,1,38.5,25.3
20190719-POR-UTA-13,20190719-POR-UTA-114,1:50,2:10,Christine Margaret Sinclair,POR,take_on,1st half,1,77.2,53.0
20190719-POR-UTA-14,20190719-POR-UTA-115,1:50,2:10,Lo'eau LaBonta,UTA,tackle,1st half,0,27.8,15.0
20190719-POR-UTA-15,20190719-POR-UTA-116,1:50,2:10,Lo'eau LaBonta,UTA,challenge,1st half,0,27.8,15.0
20190719-POR-UTA-16,20190719-POR-UTA-126,1:59,2:19,Mandy Laddish,UTA,recovery,1st half,null,28.0,27.3
20190719-POR-UTA-17,20190719-POR-UTA-129,2:04,2:24,Hayley Emma Raso,POR,challenge,1st half,1,86.6,47.5
20190719-POR-UTA-18,20190719-POR-UTA-130,2:04,2:24,Hayley Emma Raso,POR,tackle,1st half,1,86.6,47.5
20190719-POR-UTA-19,20190719-POR-UTA-131,2:04,2:24,Rachel Louise Corsie,UTA,challenge,1st half,0,18.4,20.5
20190719-POR-UTA-20,20190719-POR-UTA-132,2:07,2:27,Becky Sauerbrunn,UTA,recovery,1st half,null,13.8,34.5
20190719-POR-UTA-21,20190719-POR-UTA-133,2:07,2:27,Margaret Purce,POR,challenge,1st half,0,91.3,32.1
20190719-POR-UTA-22,20190719-POR-UTA-134,2:07,2:27,Becky Sauerbrunn,UTA,challenge,1st half,1,13.7,35.9
20190719-POR-UTA-23,20190719-POR-UTA-138,2:14,2:34,Ellie Madison Carpenter,POR,recovery,1st half,null,80.0,6.8
20190719-POR-UTA-24,20190719-POR-UTA-143,2:24,2:44,Kelley Maureen O'Hara,UTA,dribble,1st half,1,26.2,65.0
20190719-POR-UTA-25,20190719-POR-UTA-149,2:29,2:49,Meghan Elizabeth Klingenberg,POR,recovery,1st half,null,55.0,39.1
20190719-POR-UTA-26,20190719-POR-UTA-153,2:34,2:54,Nicole Renee Barnhart,UTA,recovery,1st half,null,9.1,24.5
20190719-POR-UTA-27,20190719-POR-UTA-163,3:08,3:28,Christen Annemarie Press,UTA,challenge,1st half,0,45.5,56.8
20190719-POR-UTA-28,20190719-POR-UTA-164,3:08,3:28,Elizabeth Rose Ball,POR,challenge,1st half,1,59.5,11.2
20190719-POR-UTA-29,20190719-POR-UTA-165,3:08,3:28,Christen Annemarie Press,UTA,take_on,1st half,0,45.5,56.8
20190719-POR-UTA-30,20190719-POR-UTA-166,3:08,3:28,Elizabeth Rose Ball,POR,tackle,1st half,1,59.5,11.2
20190719-POR-UTA-31,20190719-POR-UTA-169,3:10,3:30,Christine Margaret Sinclair,POR,recovery,1st half,null,61.6,24.7
20190719-POR-UTA-32,20190719-POR-UTA-172,3:13,3:33,Becky Sauerbrunn,UTA,challenge,1st half,0,29.6,45.9
20190719-POR-UTA-33,20190719-POR-UTA-173,3:13,3:33,Margaret Purce,POR,challenge,1st half,1,75.4,22.1
20190719-POR-UTA-34,20190719-POR-UTA-178,3:14,3:34,Kelley Maureen O'Hara,UTA,recovery,1st half,null,30.8,54.2
20190719-POR-UTA-35,20190719-POR-UTA-183,3:16,3:36,Gabrielle Seiler,POR,recovery,1st half,null,70.0,10.6
20190719-POR-UTA-36,20190719-POR-UTA-201,3:33,3:53,Kelley Maureen O'Hara,UTA,tackle,1st half,0,30.6,63.4
20190719-POR-UTA-37,20190719-POR-UTA-202,3:33,3:53,Kelley Maureen O'Hara,UTA,challenge,1st half,0,30.6,63.4
20190719-POR-UTA-38,20190719-POR-UTA-203,3:33,3:53,Ellie Madison Carpenter,POR,take_on,1st half,1,74.4,4.6
20190719-POR-UTA-39,20190719-POR-UTA-219,4:43,5:03,Amy Joy Rodriguez Shilling,UTA,challenge,1st half,0,67.2,33.1
20190719-POR-UTA-40,20190719-POR-UTA-220,4:43,5:03,Gabrielle Seiler,POR,challenge,1st half,1,37.8,34.9
20190719-POR-UTA-41,20190719-POR-UTA-250,4:58,5:18,Lindsey Michelle Horan,POR,challenge,1st half,0,43.2,47.3
20190719-POR-UTA-42,20190719-POR-UTA-251,4:58,5:18,Amy Joy Rodriguez Shilling,UTA,challenge,1st half,1,61.8,20.7
20190719-POR-UTA-43,20190719-POR-UTA-264,7:23,7:43,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,0,49.9,35.1
20190719-POR-UTA-44,20190719-POR-UTA-265,7:23,7:43,Lindsey Michelle Horan,POR,challenge,1st half,1,55.1,32.9
20190719-POR-UTA-45,20190719-POR-UTA-282,7:39,7:59,Ellie Madison Carpenter,POR,dribble,1st half,1,90.5,1.8
20190719-POR-UTA-46,20190719-POR-UTA-297,7:56,8:16,Becky Sauerbrunn,UTA,challenge,1st half,0,18.4,53.0
20190719-POR-UTA-47,20190719-POR-UTA-299,7:56,8:16,Hayley Emma Raso,POR,challenge,1st half,1,86.6,15.0
20190719-POR-UTA-48,20190719-POR-UTA-314,8:08,8:28,Hayley Emma Raso,POR,recovery,1st half,null,90.5,11.2
20190719-POR-UTA-49,20190719-POR-UTA-317,8:08,8:28,Becky Sauerbrunn,UTA,tackle,1st half,0,14.9,56.2
20190719-POR-UTA-50,20190719-POR-UTA-318,8:08,8:28,Hayley Emma Raso,POR,take_on,1st half,1,90.1,11.8
20190719-POR-UTA-51,20190719-POR-UTA-319,8:08,8:28,Becky Sauerbrunn,UTA,challenge,1st half,0,14.9,56.2
20190719-POR-UTA-52,20190719-POR-UTA-337,8:22,8:42,Christine Margaret Sinclair,POR,recovery,1st half,null,81.4,24.3
20190719-POR-UTA-53,20190719-POR-UTA-362,9:35,9:55,Rachel Louise Corsie,UTA,challenge,1st half,0,19.4,11.4
20190719-POR-UTA-54,20190719-POR-UTA-363,9:35,9:55,Margaret Purce,POR,challenge,1st half,1,85.6,56.6
20190719-POR-UTA-55,20190719-POR-UTA-365,9:36,9:56,Margaret Purce,POR,take_on,1st half,1,82.4,55.6
20190719-POR-UTA-56,20190719-POR-UTA-366,9:36,9:56,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,0,22.6,12.4
20190719-POR-UTA-57,20190719-POR-UTA-368,9:36,9:56,Gunnhildur Yrsa Jonsdottir,UTA,tackle,1st half,0,22.6,12.4
20190719-POR-UTA-58,20190719-POR-UTA-369,9:37,9:57,Margaret Purce,POR,challenge,1st half,0,82.4,51.2
20190719-POR-UTA-59,20190719-POR-UTA-371,9:37,9:57,Margaret Purce,POR,take_on,1st half,0,82.4,51.2
20190719-POR-UTA-60,20190719-POR-UTA-372,9:37,9:57,Desiree Rose Marie Scott,UTA,challenge,1st half,1,22.6,16.8
20190719-POR-UTA-61,20190719-POR-UTA-373,9:37,9:57,Desiree Rose Marie Scott,UTA,tackle,1st half,1,22.6,16.8
20190719-POR-UTA-62,20190719-POR-UTA-376,9:39,9:59,Rachel Louise Corsie,UTA,recovery,1st half,null,23.3,24.9
20190719-POR-UTA-63,20190719-POR-UTA-401,10:27,10:47,Lindsey Michelle Horan,POR,recovery,1st half,null,94.2,42.7
20190719-POR-UTA-64,20190719-POR-UTA-414,10:55,11:15,Katherine Nicole Stengel,UTA,challenge,1st half,0,50.6,29.0
20190719-POR-UTA-65,20190719-POR-UTA-415,10:55,11:15,Lindsey Michelle Horan,POR,challenge,1st half,1,54.4,39.0
20190719-POR-UTA-66,20190719-POR-UTA-416,10:56,11:16,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,0,44.6,23.8
20190719-POR-UTA-67,20190719-POR-UTA-417,10:56,11:16,Christine Margaret Sinclair,POR,challenge,1st half,1,60.4,44.2
20190719-POR-UTA-68,20190719-POR-UTA-432,11:16,11:36,Gabrielle Seiler,POR,challenge,1st half,1,64.1,65.4
20190719-POR-UTA-69,20190719-POR-UTA-433,11:16,11:36,Gabrielle Seiler,POR,tackle,1st half,1,64.1,65.4
20190719-POR-UTA-70,20190719-POR-UTA-434,11:16,11:36,Katherine Nicole Stengel,UTA,challenge,1st half,0,40.9,2.6
20190719-POR-UTA-71,20190719-POR-UTA-435,11:17,11:37,Gabrielle Seiler,POR,challenge,1st half,1,60.4,66.2
20190719-POR-UTA-72,20190719-POR-UTA-438,11:17,11:37,Katherine Nicole Stengel,UTA,challenge,1st half,0,44.6,1.8
20190719-POR-UTA-73,20190719-POR-UTA-439,11:17,11:37,Katherine Nicole Stengel,UTA,foul,1st half,null,46.2,0.8
20190719-POR-UTA-74,20190719-POR-UTA-447,11:51,12:11,Kelley Maureen O'Hara,UTA,challenge,1st half,1,17.0,35.9
20190719-POR-UTA-75,20190719-POR-UTA-448,11:51,12:11,Christine Margaret Sinclair,POR,challenge,1st half,0,88.0,32.1
20190719-POR-UTA-76,20190719-POR-UTA-452,11:51,12:11,Katherine Nicole Stengel,UTA,recovery,1st half,null,18.4,34.3
20190719-POR-UTA-77,20190719-POR-UTA-455,11:53,12:13,Gabrielle Seiler,POR,recovery,1st half,null,71.6,32.7
20190719-POR-UTA-78,20190719-POR-UTA-479,12:32,12:52,Lindsey Michelle Horan,POR,recovery,1st half,null,50.4,14.8
20190719-POR-UTA-79,20190719-POR-UTA-505,12:54,13:14,Kate Elizabeth Bowen,UTA,recovery,1st half,null,44.6,1.0
20190719-POR-UTA-80,20190719-POR-UTA-625,15:10,15:30,Amy Joy Rodriguez Shilling,UTA,challenge,1st half,1,95.4,29.0
20190719-POR-UTA-81,20190719-POR-UTA-626,15:10,15:30,Emily Townsend Menges,POR,challenge,1st half,0,9.6,39.0
20190719-POR-UTA-82,20190719-POR-UTA-632,15:42,16:02,Margaret Purce,POR,challenge,1st half,0,62.0,57.9
20190719-POR-UTA-83,20190719-POR-UTA-638,15:42,16:02,Kate Elizabeth Bowen,UTA,challenge,1st half,1,43.0,10.1
20190719-POR-UTA-84,20190719-POR-UTA-643,15:49,16:09,Katherine Reynolds,POR,recovery,1st half,null,45.7,64.3
20190719-POR-UTA-85,20190719-POR-UTA-646,15:50,16:10,Kate Elizabeth Bowen,UTA,recovery,1st half,null,39.9,1.8
20190719-POR-UTA-86,20190719-POR-UTA-656,15:53,16:13,Kate Elizabeth Bowen,UTA,recovery,1st half,null,40.4,2.6
20190719-POR-UTA-87,20190719-POR-UTA-662,16:08,16:28,Katherine Nicole Stengel,UTA,challenge,1st half,0,56.3,4.3
20190719-POR-UTA-88,20190719-POR-UTA-664,16:08,16:28,Emily Townsend Menges,POR,challenge,1st half,1,48.7,63.7
20190719-POR-UTA-89,20190719-POR-UTA-667,16:19,16:39,Emily Townsend Menges,POR,challenge,1st half,0,39.4,59.7
20190719-POR-UTA-90,20190719-POR-UTA-669,16:19,16:39,Katherine Nicole Stengel,UTA,challenge,1st half,1,65.6,8.3
20190719-POR-UTA-91,20190719-POR-UTA-674,16:22,16:42,Meghan Elizabeth Klingenberg,POR,challenge,1st half,0,48.7,65.4
20190719-POR-UTA-92,20190719-POR-UTA-677,16:22,16:42,Kate Elizabeth Bowen,UTA,challenge,1st half,1,56.3,2.6
20190719-POR-UTA-93,20190719-POR-UTA-678,16:23,16:43,Emily Townsend Menges,POR,recovery,1st half,null,36.9,60.7
20190719-POR-UTA-94,20190719-POR-UTA-683,16:27,16:47,Gabrielle Seiler,POR,challenge,1st half,0,63.2,41.8
20190719-POR-UTA-95,20190719-POR-UTA-685,16:27,16:47,Lo'eau LaBonta,UTA,challenge,1st half,1,41.8,26.2
20190719-POR-UTA-96,20190719-POR-UTA-686,16:27,16:47,Gabrielle Seiler,POR,take_on,1st half,0,63.2,41.8
20190719-POR-UTA-97,20190719-POR-UTA-687,16:27,16:47,Lo'eau LaBonta,UTA,tackle,1st half,1,41.8,26.2
20190719-POR-UTA-98,20190719-POR-UTA-691,16:30,16:50,Kelley Maureen O'Hara,UTA,recovery,1st half,null,34.3,43.2
20190719-POR-UTA-99,20190719-POR-UTA-692,16:32,16:52,Lindsey Michelle Horan,POR,recovery,1st half,null,42.5,52.2
20190719-POR-UTA-100,20190719-POR-UTA-722,17:06,17:26,Kelley Maureen O'Hara,UTA,challenge,1st half,1,63.7,66.2
20190719-POR-UTA-101,20190719-POR-UTA-723,17:06,17:26,Ellie Madison Carpenter,POR,challenge,1st half,0,41.3,1.8
20190719-POR-UTA-102,20190719-POR-UTA-728,17:07,17:27,Elizabeth Rose Ball,POR,recovery,1st half,null,38.0,9.7
20190719-POR-UTA-103,20190719-POR-UTA-769,18:17,18:37,Gabrielle Seiler,POR,challenge,1st half,1,57.2,14.0
20190719-POR-UTA-104,20190719-POR-UTA-770,18:17,18:37,Katherine Nicole Stengel,UTA,challenge,1st half,0,47.8,54.0
20190719-POR-UTA-105,20190719-POR-UTA-773,18:19,18:39,Desiree Rose Marie Scott,UTA,recovery,1st half,null,31.7,38.6
20190719-POR-UTA-106,20190719-POR-UTA-788,18:26,18:46,Lindsey Michelle Horan,POR,recovery,1st half,null,58.6,42.6
20190719-POR-UTA-107,20190719-POR-UTA-791,18:26,18:46,Lindsey Michelle Horan,POR,dribble,1st half,1,60.4,44.5
20190719-POR-UTA-108,20190719-POR-UTA-805,18:43,19:03,Lindsey Michelle Horan,POR,challenge,1st half,0,61.1,14.2
20190719-POR-UTA-109,20190719-POR-UTA-806,18:43,19:03,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,1,43.9,53.8
20190719-POR-UTA-110,20190719-POR-UTA-808,18:44,19:04,Lindsey Michelle Horan,POR,foul,1st half,null,59.5,12.6
20190719-POR-UTA-111,20190719-POR-UTA-817,19:18,19:38,Desiree Rose Marie Scott,UTA,dribble,1st half,1,59.2,45.7
20190719-POR-UTA-112,20190719-POR-UTA-831,19:33,19:53,Katherine Nicole Stengel,UTA,recovery,1st half,null,86.6,61.1
20190719-POR-UTA-113,20190719-POR-UTA-862,20:18,20:38,Gunnhildur Yrsa Jonsdottir,UTA,challenge,1st half,0,48.1,3.4
20190719-POR-UTA-114,20190719-POR-UTA-863,20:18,20:38,Lindsey Michelle Horan,POR,challenge,1st half,1,56.9,64.6
20190719-POR-UTA-115,20190719-POR-UTA-868,20:40,21:00,Emily Townsend Menges,POR,challenge,1st half,0,50.4,65.4
20190719-POR-UTA-116,20190719-POR-UTA-869,20:40,21:00,Katherine Nicole Stengel,UTA,challenge,1st half,1,54.6,2.6
20190719-POR-UTA-117,20190719-POR-UTA-924,22:20,22:40,Lindsey Michelle Horan,POR,challenge,1st half,1,96.6,45.3
20190719-POR-UTA-118,20190719-POR-UTA-926,22:20,22:40,Rachel Louise Corsie,UTA,challenge,1st half,0,8.4,22.7
20190719-POR-UTA-119,20190719-POR-UTA-931,22:23,22:43,Desiree Rose Marie Scott,UTA,recovery,1st half,null,11.2,20.3
20190719-POR-UTA-120,20190719-POR-UTA-940,22:54,23:14,Becky Sauerbrunn,UTA,challenge,1st half,1,8.9,26.8
20190719-POR-UTA-121,20190719-POR-UTA-944,22:54,23:14,Elizabeth Rose Ball,POR,challenge,1st half,0,96.1,41.2
20190719-POR-UTA-122,20190719-POR-UTA-950,22:56,23:16,Christine Margaret Sinclair,POR,challenge,1st half,1,98.5,24.6
20190719-POR-UTA-123,20190719-POR-UTA-952,22:56,23:16,Kelley Maureen O'Hara,UTA,challenge,1st half,0,6.5,43.4
20190719-POR-UTA-124,20190719-POR-UTA-957,22:58,23:18,Gunnhildur Yrsa Jonsdottir,UTA,recovery,1st half,null,3.8,48.7
20190719-POR-UTA-125,20190719-POR-UTA-963,23:17,23:37,Lindsey Michelle Horan,POR,challenge,1st half,1,96.9,26.2
20190719-POR-UTA-126,20190719-POR-UTA-964,23:17,23:37,Becky Sauerbrunn,UTA,challenge,1st half,0,8.1,41.8
20190719-POR-UTA-127,20190719-POR-UTA-973,23:23,23:43,Emily Townsend Menges,POR,recovery,1st half,null,59.2,16.2
20190719-POR-UTA-128,20190719-POR-UTA-985,23:51,24:11,Katherine Nicole Stengel,UTA,challenge,1st half,0,47.2,65.6
20190719-POR-UTA-129,20190719-POR-UTA-989,23:51,24:11,Ellie Madison Carpenter,POR,challenge,1st half,1,57.8,2.4
20190719-POR-UTA-130,20190719-POR-UTA-994,23:55,24:15,Kelley Maureen O'Hara,UTA,recovery,1st half,null,23.6,60.9
20190719-POR-UTA-131,20190719-POR-UTA-1004,24:01,24:21,Elizabeth Rose Ball,POR,recovery,1st half,null,40.6,9.7
20190719-POR-UTA-132,20190719-POR-UTA-1025,24:27,24:47,Amy Joy Rodriguez Shilling,UTA,take_on,1st half,1,47.2,20.3
20190719-POR-UTA-133,20190719-POR-UTA-1026,24:27,24:47,Lindsey Michelle Horan,POR,tackle,1st half,0,57.8,47.7
20190719-POR-UTA-134,20190719-POR-UTA-1027,24:27,24:47,Lindsey Michelle Horan,POR,challenge,1st half,0,57.8,47.7
20190719-POR-UTA-135,20190719-POR-UTA-1041,25:05,25:25,Emily Townsend Menges,POR,recovery,1st half,null,38.7,41.8
20190719-POR-UTA-136,20190719-POR-UTA-1055,25:10,25:30,Gunnhildur Yrsa Jonsdottir,UTA,recovery,1st half,null,56.2,15.8
20190719-POR-UTA-137,20190719-POR-UTA-1058,25:13,25:33,Meghan Elizabeth Klingenberg,POR,recovery,1st half,null,44.8,63.7
20190719-POR-UTA-138,20190719-POR-UTA-1060,25:13,25:33,Meghan Elizabeth Klingenberg,POR,dribble,1st half,1,44.8,63.7
20190719-POR-UTA-139,20190719-POR-UTA-1062,25:15,25:35,Kate Elizabeth Bowen,UTA,foul,1st half,null,40.4,3.7
20190719-POR-UTA-140,20190719-POR-UTA-1110,27:53,28:13,Lo'eau LaBonta,UTA,challenge,1st half,1,5.6,63.3
20190719-POR-UTA-141,20190719-POR-UTA-1111,27:53,28:13,Ellie Madison Carpenter,POR,challenge,1st half,0,99.4,4.7
20190719-POR-UTA-142,20190719-POR-UTA-1114,27:57,28:17,Katherine Nicole Stengel,UTA,challenge,1st half,0,19.8,57.0
20190719-POR-UTA-143,20190719-POR-UTA-1117,27:57,28:17,Gabrielle Seiler,POR,challenge,1st half,1,85.2,11.0
20190719-POR-UTA-144,20190719-POR-UTA-1132,28:12,28:32,Desiree Rose Marie Scott,UTA,challenge,1st half,0,7.7,11.4
20190719-POR-UTA-145,20190719-POR-UTA-1133,28:12,28:32,Desiree Rose Marie Scott,UTA,tackle,1st half,0,7.7,11.4
20190719-POR-UTA-146,20190719-POR-UTA-1134,28:12,28:32,Meghan Elizabeth Klingenberg,POR,take_on,1st half,1,97.3,56.6
20190719-POR-UTA-147,20190719-POR-UTA-1143,28:16,28:36,Margaret Purce,POR,recovery,1st half,null,79.8,60.7
