,raw_event_ID,start_time,end_time,player_ID,team,half,start_pos_x,start_pos_y,successful,receiver,end_pos_x,end_pos_y,cross,cross_blocked
359,1456,34:36,34:56,Morgan Gautrat,Chicago Red Stars,1st half,50.8,59.9,1,Samantha Kerr,60.7,57.2,0,0
360,1459,34:41,35:01,Samantha Kerr,Chicago Red Stars,1st half,78.3,60.6,1,Yuki Ogimi-Nagasato,81.5,65.1,0,0
361,1462,34:44,35:04,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,81.3,60.6,1,Samantha Kerr,78.5,52.4,0,0
362,1465,34:45,35:05,Samantha Kerr,Chicago Red Stars,1st half,78.5,52.4,1,Vanessa Sue Di Bernardo,76.4,58.2,0,0
363,1468,34:49,35:09,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,88.2,62.7,1,Yuki Ogimi-Nagasato,80.6,57.5,0,0
364,1470,34:50,35:10,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,81.3,56.0,1,Savannah McCaskill,84.0,50.5,0,0
365,1473,34:51,35:11,Savannah McCaskill,Chicago Red Stars,1st half,83.6,50.5,1,Samantha Kerr,80.2,38.5,0,0
366,1480,35:11,35:31,Stephanie Labbe,North Carolina Courage,1st half,5.5,33.8,1,Abby May Erceg,12.0,54.6,0,0
367,1482,35:14,35:34,Abby May Erceg,North Carolina Courage,1st half,12.0,54.6,1,Samantha Mewis,22.7,33.3,0,0
368,1483,35:17,35:37,Samantha Mewis,North Carolina Courage,1st half,22.7,33.3,1,Abby Dahlkemper,75.6,0.0,0,0
369,1485,35:21,35:41,Abby Dahlkemper,North Carolina Courage,1st half,33.8,13.6,0,Casey Short,78.8,0.0,0,0
370,1486,35:39,35:59,Casey Short,Chicago Red Stars,1st half,26.2,68.0,1,Yuki Ogimi-Nagasato,35.7,65.1,0,0
371,1487,35:43,36:03,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,35.7,65.1,1,Casey Short,25.8,65.4,0,0
372,1489,35:47,36:07,Casey Short,Chicago Red Stars,1st half,37.4,66.1,0,Heather Ann OReilly,42.0,64.9,0,0
373,1494,35:49,36:09,Samantha Mewis,North Carolina Courage,1st half,60.3,7.4,0,Kathleen Camille Naughton,82.5,6.0,0,0
374,1503,35:52,36:12,Kathleen Camille Naughton,Chicago Red Stars,1st half,24.1,61.8,1,Morgan Gautrat,28.1,57.0,0,0
375,1508,35:52,36:12,Morgan Gautrat,Chicago Red Stars,1st half,28.1,57.0,1,Kathleen Camille Naughton,20.0,62.5,0,0
376,1510,35:54,36:14,Kathleen Camille Naughton,Chicago Red Stars,1st half,23.9,61.5,1,Casey Short,38.8,67.0,0,0
377,1518,35:59,36:19,Casey Short,Chicago Red Stars,1st half,32.5,62.0,1,Kathleen Camille Naughton,21.0,59.9,0,0
378,1520,36:02,36:22,Kathleen Camille Naughton,Chicago Red Stars,1st half,19.7,61.8,1,Alyssa Naeher,4.4,39.7,0,0
379,1523,36:08,36:28,Alyssa Naeher,Chicago Red Stars,1st half,7.3,32.3,1,Julie Beth Ertz,16.6,35.7,0,0
380,1526,36:16,36:36,Julie Beth Ertz,Chicago Red Stars,1st half,16.2,26.6,1,Danielle Colaprico,17.6,2.6,0,0
381,1530,36:19,36:39,Danielle Colaprico,Chicago Red Stars,1st half,21.0,3.1,1,Sarah Gorden,28.6,3.6,0,0
382,1534,36:21,36:41,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,80.6,63.2,0,Danielle Colaprico,83.6,59.6,0,0
383,1541,36:24,36:44,Denise O'Sullivan,North Carolina Courage,1st half,82.9,63.2,0,Danielle Colaprico,85.5,62.3,0,0
384,1548,36:28,36:48,Savannah McCaskill,Chicago Red Stars,1st half,37.0,6.7,1,Yuki Ogimi-Nagasato,40.3,34.7,0,0
385,1552,36:33,36:53,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,49.8,36.9,0,Abby Dahlkemper,72.2,36.4,0,0
386,1556,36:34,36:54,Abby Dahlkemper,North Carolina Courage,1st half,32.8,31.6,1,Samantha Mewis,44.9,19.2,0,0
387,1557,36:37,36:57,Samantha Mewis,North Carolina Courage,1st half,44.9,19.2,0,Kathleen Camille Naughton,71.4,27.5,0,0
388,1563,36:40,37:00,Kathleen Camille Naughton,Chicago Red Stars,1st half,36.3,37.1,1,Danielle Colaprico,48.3,33.5,0,0
389,1566,36:44,37:04,Danielle Colaprico,Chicago Red Stars,1st half,52.9,30.2,1,Samantha Kerr,69.5,34.2,0,0
390,1569,36:46,37:06,Samantha Kerr,Chicago Red Stars,1st half,64.1,32.6,1,Danielle Colaprico,55.4,31.8,0,0
391,1571,36:47,37:07,Danielle Colaprico,Chicago Red Stars,1st half,56.7,30.4,1,Samantha Kerr,70.3,34.0,0,0
392,1575,36:50,37:10,Samantha Kerr,Chicago Red Stars,1st half,76.0,34.2,0,Abby Dahlkemper,79.0,38.5,0,0
393,1580,36:59,37:19,Stephanie Labbe,North Carolina Courage,1st half,10.5,2.2,0,Casey Short,50.6,3.8,0,0
394,1584,37:02,37:22,Casey Short,Chicago Red Stars,1st half,54.4,64.2,1,Morgan Gautrat,63.8,62.5,0,0
395,1589,37:04,37:24,Morgan Gautrat,Chicago Red Stars,1st half,60.3,62.0,1,Danielle Colaprico,55.0,55.1,0,0
396,1592,37:11,37:31,Danielle Colaprico,Chicago Red Stars,1st half,62.6,50.0,1,Samantha Kerr,81.5,39.3,0,0
397,1594,37:12,37:32,Samantha Kerr,Chicago Red Stars,1st half,81.5,39.3,1,Vanessa Sue Di Bernardo,78.3,40.5,0,0
398,1595,37:13,37:33,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,78.3,40.5,1,Savannah McCaskill,77.5,32.6,0,0
399,1606,37:21,37:41,Danielle Colaprico,Chicago Red Stars,1st half,58.8,54.6,1,Casey Short,56.9,60.8,0,0
400,1608,37:25,37:45,Casey Short,Chicago Red Stars,1st half,65.1,55.8,1,Morgan Gautrat,74.6,66.6,0,0
401,1611,37:29,37:49,Morgan Gautrat,Chicago Red Stars,1st half,78.3,64.4,1,Yuki Ogimi-Nagasato,84.2,58.7,0,0
402,1614,37:30,37:50,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,84.2,58.7,1,Morgan Gautrat,79.0,53.4,0,0
403,1618,37:33,37:53,Morgan Gautrat,Chicago Red Stars,1st half,79.0,53.4,0,Stephanie Labbe,103.5,26.6,0,0
404,1622,37:43,38:03,Stephanie Labbe,North Carolina Courage,1st half,8.4,43.3,1,Abby May Erceg,17.2,49.6,0,0
405,1624,37:50,38:10,Abby May Erceg,North Carolina Courage,1st half,24.8,52.4,1,Samantha Mewis,25.2,33.5,0,0
406,1627,37:53,38:13,Samantha Mewis,North Carolina Courage,1st half,24.8,29.9,1,Abby Dahlkemper,26.7,13.9,0,0
407,1630,37:54,38:14,Abby Dahlkemper,North Carolina Courage,1st half,26.7,13.9,1,Samantha Mewis,31.5,26.1,0,0
408,1633,37:57,38:17,Samantha Mewis,North Carolina Courage,1st half,35.5,22.7,1,Crystal Alyssia Dunn,46.4,12.5,0,0
409,1635,37:58,38:18,Crystal Alyssia Dunn,North Carolina Courage,1st half,46.4,12.5,1,Abby Dahlkemper,31.9,10.3,0,0
410,1637,38:01,38:21,Abby Dahlkemper,North Carolina Courage,1st half,31.7,12.0,1,Stephanie Labbe,17.4,31.6,0,0
411,1641,38:04,38:24,Stephanie Labbe,North Carolina Courage,1st half,17.4,30.9,1,Abby Dahlkemper,32.8,12.5,0,0
412,1644,38:06,38:26,Abby Dahlkemper,North Carolina Courage,1st half,33.8,13.4,1,Samantha Mewis,35.9,26.8,0,0
413,1647,38:10,38:30,Samantha Mewis,North Carolina Courage,1st half,33.6,22.0,1,Abby Dahlkemper,31.1,15.3,0,0
414,1652,38:14,38:34,Abby Dahlkemper,North Carolina Courage,1st half,44.1,9.3,0,Casey Short,65.5,4.8,0,0
415,1655,38:18,38:38,Casey Short,Chicago Red Stars,1st half,35.3,61.8,1,Kathleen Camille Naughton,24.8,49.1,0,0
416,1656,38:21,38:41,Kathleen Camille Naughton,Chicago Red Stars,1st half,24.8,49.1,1,Julie Beth Ertz,25.8,38.3,0,0
417,1657,38:24,38:44,Julie Beth Ertz,Chicago Red Stars,1st half,25.8,38.3,1,Danielle Colaprico,24.1,45.3,0,0
418,1658,38:27,38:47,Danielle Colaprico,Chicago Red Stars,1st half,24.1,45.3,1,Kathleen Camille Naughton,26.5,66.8,0,0
419,1659,38:34,38:54,Kathleen Camille Naughton,Chicago Red Stars,1st half,26.5,66.8,0,Heather Ann OReilly,58.0,64.9,0,0
420,1663,38:37,38:57,Heather Ann OReilly,North Carolina Courage,1st half,45.2,5.7,1,Samantha Mewis,53.1,12.0,0,0
421,1666,38:39,38:59,Samantha Mewis,North Carolina Courage,1st half,50.4,13.2,1,Denise O'Sullivan,49.3,30.6,0,0
422,1668,38:41,39:01,Denise O'Sullivan,North Carolina Courage,1st half,48.3,22.7,1,Samantha Mewis,43.7,17.2,0,0
423,1671,38:42,39:02,Samantha Mewis,North Carolina Courage,1st half,43.7,17.2,1,Jaelene Mckenzie Daniels,48.1,58.2,0,0
424,1673,38:46,39:06,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,55.2,56.0,1,Denise O'Sullivan,58.0,35.2,0,0
425,1676,38:49,39:09,Denise O'Sullivan,North Carolina Courage,1st half,58.6,34.2,1,Samantha Mewis,54.4,29.2,0,0
426,1680,38:54,39:14,Samantha Mewis,North Carolina Courage,1st half,62.6,16.0,1,Heather Ann OReilly,65.1,3.4,0,0
427,1683,38:57,39:17,Heather Ann OReilly,North Carolina Courage,1st half,66.4,5.0,1,Crystal Alyssia Dunn,73.7,3.4,0,0
428,1685,38:59,39:19,Crystal Alyssia Dunn,North Carolina Courage,1st half,71.4,2.9,1,Heather Ann OReilly,61.5,4.1,0,0
429,1688,39:01,39:21,Heather Ann OReilly,North Carolina Courage,1st half,61.5,4.1,1,Abby Dahlkemper,48.1,14.1,0,0
430,1690,39:05,39:25,Abby Dahlkemper,North Carolina Courage,1st half,49.3,16.0,1,Denise O'Sullivan,60.5,20.8,0,0
431,1693,39:06,39:26,Denise O'Sullivan,North Carolina Courage,1st half,58.6,20.4,1,Abby Dahlkemper,48.7,22.0,0,0
432,1697,39:08,39:28,Abby Dahlkemper,North Carolina Courage,1st half,47.2,21.5,1,Denise O'Sullivan,60.5,28.5,0,0
433,1699,39:09,39:29,Denise O'Sullivan,North Carolina Courage,1st half,59.8,32.3,0,Savannah McCaskill,62.0,57.5,0,0
434,1707,39:16,39:36,Savannah McCaskill,Chicago Red Stars,1st half,62.8,14.8,0,Heather Ann OReilly,82.1,47.2,0,0
435,1711,39:19,39:39,Heather Ann OReilly,North Carolina Courage,1st half,22.9,20.8,1,Stephanie Labbe,9.9,36.4,0,0
436,1714,39:24,39:44,Stephanie Labbe,North Carolina Courage,1st half,9.2,36.6,1,Abby May Erceg,27.5,54.1,0,0
437,1719,39:29,39:49,Abby May Erceg,North Carolina Courage,1st half,46.0,54.6,0,Danielle Colaprico,55.0,53.4,0,0
438,1723,39:31,39:51,Savannah McCaskill,Chicago Red Stars,1st half,50.4,7.9,0,Abby Dahlkemper,79.6,11.7,0,0
439,1728,39:35,39:55,Abby Dahlkemper,North Carolina Courage,1st half,25.4,56.3,1,Stephanie Labbe,7.8,41.4,0,0
440,1731,39:38,39:58,Stephanie Labbe,North Carolina Courage,1st half,10.7,36.2,1,Samantha Mewis,18.7,32.8,0,0
441,1735,39:47,40:07,Samantha Mewis,North Carolina Courage,1st half,35.7,39.5,1,Abby Dahlkemper,35.1,58.2,0,0
442,1739,39:52,40:12,Abby Dahlkemper,North Carolina Courage,1st half,45.8,61.5,0,Alyssa Naeher,96.0,45.5,0,0
443,1744,40:08,40:28,Alyssa Naeher,Chicago Red Stars,1st half,14.1,29.0,1,Sarah Gorden,25.2,2.9,0,0
444,1747,40:11,40:31,Sarah Gorden,Chicago Red Stars,1st half,26.7,4.1,1,Danielle Colaprico,38.4,7.7,0,0
445,1750,40:14,40:34,Danielle Colaprico,Chicago Red Stars,1st half,42.6,3.4,0,Abby May Erceg,84.2,7.9,0,0
446,1754,40:17,40:37,Abby May Erceg,North Carolina Courage,1st half,20.8,60.1,1,Stephanie Labbe,7.6,46.5,0,0
447,1758,40:20,40:40,Stephanie Labbe,North Carolina Courage,1st half,7.6,46.5,1,Samantha Mewis,26.9,35.2,0,0
448,1762,40:27,40:47,Samantha Mewis,North Carolina Courage,1st half,45.6,51.7,1,Debinha,60.9,63.9,0,0
449,1765,40:33,40:53,Debinha,North Carolina Courage,1st half,79.8,49.3,1,Lynn Williams,101.8,53.2,0,0
450,1773,40:37,40:57,Lynn Williams,North Carolina Courage,1st half,104.8,50.8,0,Casey Short,96.4,0.0,0,0
451,1778,40:54,41:14,Casey Short,Chicago Red Stars,1st half,8.6,68.0,1,Morgan Gautrat,9.7,60.3,0,0
452,1782,40:56,41:16,Morgan Gautrat,Chicago Red Stars,1st half,8.4,61.8,1,Casey Short,8.8,66.6,0,0
453,1784,40:57,41:17,Casey Short,Chicago Red Stars,1st half,8.8,66.6,1,Vanessa Sue Di Bernardo,21.4,63.0,0,0
454,1786,40:57,41:17,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,21.4,63.0,1,Kathleen Camille Naughton,11.8,48.8,0,0
455,1789,41:00,41:20,Kathleen Camille Naughton,Chicago Red Stars,1st half,11.8,48.8,0,Jaelene Mckenzie Daniels,46.0,30.9,0,0
456,1791,41:02,41:22,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,59.0,37.1,0,Yuki Ogimi-Nagasato,62.0,18.4,0,0
457,1797,41:05,41:25,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,43.0,49.6,1,Samantha Kerr,49.1,38.1,0,0
458,1800,41:06,41:26,Samantha Kerr,Chicago Red Stars,1st half,49.1,38.1,1,Yuki Ogimi-Nagasato,44.7,34.2,0,0
459,1802,41:08,41:28,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,55.9,34.2,1,Samantha Kerr,65.9,44.3,0,0
460,1805,41:10,41:30,Samantha Kerr,Chicago Red Stars,1st half,65.9,44.3,1,Yuki Ogimi-Nagasato,57.5,52.4,0,0
461,1807,41:11,41:31,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,57.5,52.4,1,Samantha Kerr,72.4,36.9,0,0
462,1809,41:13,41:33,Samantha Kerr,Chicago Red Stars,1st half,66.6,42.9,1,Vanessa Sue Di Bernardo,62.6,58.2,0,0
463,1813,41:18,41:38,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,77.9,58.7,1,Yuki Ogimi-Nagasato,83.8,65.6,0,0
464,1816,41:22,41:42,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,83.2,63.5,1,Casey Short,69.1,55.3,0,0
465,1820,41:25,41:45,Casey Short,Chicago Red Stars,1st half,71.6,50.5,1,Danielle Colaprico,74.1,40.5,0,0
466,1823,41:28,41:48,Danielle Colaprico,Chicago Red Stars,1st half,74.8,44.8,1,Morgan Gautrat,80.4,47.2,0,0
467,1824,41:29,41:49,Morgan Gautrat,Chicago Red Stars,1st half,80.4,47.2,1,Casey Short,69.7,54.1,0,0
468,1828,41:33,41:53,Casey Short,Chicago Red Stars,1st half,71.6,49.1,1,Sarah Gorden,77.7,13.4,0,0
469,1830,41:38,41:58,Sarah Gorden,Chicago Red Stars,1st half,64.1,12.9,1,Julie Beth Ertz,54.2,14.8,0,0
470,1834,41:43,42:03,Julie Beth Ertz,Chicago Red Stars,1st half,58.6,23.2,1,Casey Short,66.8,35.9,0,0
471,1839,41:48,42:08,Casey Short,Chicago Red Stars,1st half,73.5,44.8,1,Yuki Ogimi-Nagasato,80.8,49.8,0,0
472,1842,41:52,42:12,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,84.4,52.2,1,Vanessa Sue Di Bernardo,94.5,61.8,0,0
473,1849,41:55,42:15,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,97.2,62.0,1,Samantha Kerr,101.2,25.6,1,0
474,1851,41:57,42:17,Samantha Kerr,Chicago Red Stars,1st half,101.2,25.6,0,Abby Dahlkemper,100.8,37.4,0,0
475,1857,41:58,42:18,Samantha Mewis,North Carolina Courage,1st half,7.8,27.3,1,Crystal Alyssia Dunn,19.3,10.8,0,0
476,1866,42:03,42:23,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,82.5,54.8,0,Stephanie Labbe,101.8,35.0,1,0
477,1871,42:19,42:39,Stephanie Labbe,North Carolina Courage,1st half,13.7,32.1,1,Abby Dahlkemper,14.7,23.5,0,0
478,1873,42:20,42:40,Abby Dahlkemper,North Carolina Courage,1st half,14.7,23.5,1,Stephanie Labbe,6.3,54.4,0,0
479,1875,42:26,42:46,Stephanie Labbe,North Carolina Courage,1st half,6.3,54.4,1,Abby May Erceg,12.4,58.4,0,0
480,1878,42:30,42:50,Abby May Erceg,North Carolina Courage,1st half,19.7,55.5,1,Samantha Mewis,23.1,40.7,0,0
481,1881,42:36,42:56,Samantha Mewis,North Carolina Courage,1st half,29.4,33.3,1,Abby Dahlkemper,33.6,18.4,0,0
482,1884,42:38,42:58,Abby Dahlkemper,North Carolina Courage,1st half,39.1,14.4,1,Heather Ann OReilly,55.0,5.3,0,0
483,1886,42:43,43:03,Heather Ann OReilly,North Carolina Courage,1st half,57.1,5.3,1,Jessica Marie McDonald,84.6,5.7,0,0
484,1895,42:48,43:08,Jessica Marie McDonald,North Carolina Courage,1st half,97.7,6.5,0,Julie Beth Ertz,95.1,31.8,1,0
485,1899,42:50,43:10,Julie Beth Ertz,Chicago Red Stars,1st half,9.9,36.2,1,Danielle Colaprico,25.4,59.9,0,0
486,1900,42:55,43:15,Danielle Colaprico,Chicago Red Stars,1st half,25.4,59.9,1,Yuki Ogimi-Nagasato,29.0,65.8,0,0
487,1901,42:59,43:19,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,29.0,65.8,1,Sarah Gorden,51.7,15.6,0,0
488,1904,43:03,43:23,Sarah Gorden,Chicago Red Stars,1st half,34.9,7.4,0,Denise O'Sullivan,51.7,15.6,0,0
489,1908,43:06,43:26,Denise O'Sullivan,North Carolina Courage,1st half,48.3,60.8,1,Abby May Erceg,33.0,50.5,0,0
490,1910,43:09,43:29,Abby May Erceg,North Carolina Courage,1st half,33.2,46.5,1,Abby Dahlkemper,39.3,17.5,0,0
491,1914,43:14,43:34,Abby Dahlkemper,North Carolina Courage,1st half,46.8,12.2,1,Heather Ann OReilly,57.5,3.1,0,0
492,1918,43:17,43:37,Heather Ann OReilly,North Carolina Courage,1st half,60.1,3.4,0,Alyssa Naeher,97.0,16.5,0,0
493,1924,46:29,46:49,Alyssa Naeher,Chicago Red Stars,1st half,5.5,35.4,1,Casey Short,38.2,65.6,0,0
494,1928,46:33,46:53,Casey Short,Chicago Red Stars,1st half,38.0,63.5,1,Vanessa Sue Di Bernardo,43.3,52.4,0,0
495,1933,46:36,46:56,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,41.2,55.8,1,Casey Short,41.6,64.4,0,0
496,1936,46:38,46:58,Casey Short,Chicago Red Stars,1st half,39.9,62.0,1,Kathleen Camille Naughton,27.5,63.9,0,0
497,1939,46:43,47:03,Kathleen Camille Naughton,Chicago Red Stars,1st half,27.9,59.4,1,Alyssa Naeher,7.1,47.4,0,0
498,1941,46:48,47:08,Alyssa Naeher,Chicago Red Stars,1st half,8.6,41.7,1,Kathleen Camille Naughton,15.8,63.2,0,0
499,1944,46:51,47:11,Kathleen Camille Naughton,Chicago Red Stars,1st half,14.7,62.3,1,Vanessa Sue Di Bernardo,27.7,44.1,0,0
500,1946,46:52,47:12,Vanessa Sue Di Bernardo,Chicago Red Stars,1st half,27.7,44.1,1,Morgan Gautrat,19.7,42.4,0,0
501,1949,46:56,47:16,Morgan Gautrat,Chicago Red Stars,1st half,21.2,30.9,1,Sarah Gorden,37.4,3.8,0,0
502,1953,47:00,47:20,Sarah Gorden,Chicago Red Stars,1st half,37.2,8.1,1,Savannah McCaskill,42.8,14.6,0,0
503,1955,47:02,47:22,Savannah McCaskill,Chicago Red Stars,1st half,42.6,11.5,0,Jaelene Mckenzie Daniels,46.4,7.9,0,0
504,1963,47:05,47:25,Jaelene Mckenzie Daniels,North Carolina Courage,1st half,46.6,56.0,1,Abby May Erceg,29.0,51.2,0,0
505,1965,47:08,47:28,Abby May Erceg,North Carolina Courage,1st half,27.1,47.6,1,Abby Dahlkemper,33.4,20.8,0,0
506,1970,47:15,47:35,Abby Dahlkemper,North Carolina Courage,1st half,49.1,9.3,1,Heather Ann OReilly,58.6,3.1,0,0
507,1973,47:17,47:37,Heather Ann OReilly,North Carolina Courage,1st half,58.4,3.1,1,Samantha Mewis,58.6,11.7,0,0
508,1976,47:18,47:38,Samantha Mewis,North Carolina Courage,1st half,58.6,11.7,0,Casey Short,77.5,0.0,0,0
509,1978,47:32,47:52,Casey Short,Chicago Red Stars,1st half,27.5,68.0,1,Yuki Ogimi-Nagasato,40.7,64.4,0,0
510,1980,47:34,47:54,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,39.7,62.7,1,Morgan Gautrat,31.9,57.2,0,0
511,1984,47:37,47:57,Morgan Gautrat,Chicago Red Stars,1st half,27.5,53.4,1,Sarah Gorden,40.1,9.1,0,0
512,1986,47:41,48:01,Sarah Gorden,Chicago Red Stars,1st half,40.1,9.1,1,Savannah McCaskill,65.3,1.0,0,0
513,1988,47:44,48:04,Savannah McCaskill,Chicago Red Stars,1st half,65.3,1.0,0,Abby May Erceg,96.4,8.1,0,0
514,1990,47:49,48:09,Abby May Erceg,North Carolina Courage,1st half,8.6,59.9,1,Stephanie Labbe,7.8,47.4,0,0
515,1993,47:51,48:11,Stephanie Labbe,North Carolina Courage,1st half,7.8,47.4,0,Savannah McCaskill,29.2,58.9,0,0
516,1999,47:54,48:14,Savannah McCaskill,Chicago Red Stars,1st half,72.7,12.9,1,Sarah Gorden,85.7,7.7,0,0
517,2002,47:56,48:16,Sarah Gorden,Chicago Red Stars,1st half,87.2,8.9,0,Abby May Erceg,91.3,22.3,0,0
518,2007,47:58,48:18,Samantha Mewis,North Carolina Courage,1st half,17.8,34.7,0,Danielle Colaprico,35.1,46.0,0,0
519,2013,48:00,48:20,Danielle Colaprico,Chicago Red Stars,1st half,69.9,22.0,1,Morgan Gautrat,76.4,37.4,0,0
520,2022,48:28,48:48,Stephanie Labbe,North Carolina Courage,1st half,5.5,35.9,1,Samantha Mewis,19.5,34.5,0,0
521,2025,48:33,48:53,Samantha Mewis,North Carolina Courage,1st half,23.1,29.7,1,Abby Dahlkemper,21.2,20.1,0,0
522,2027,48:36,48:56,Abby Dahlkemper,North Carolina Courage,1st half,21.0,17.5,1,Stephanie Labbe,14.3,33.5,0,0
523,2030,48:39,48:59,Stephanie Labbe,North Carolina Courage,1st half,13.0,35.4,1,Abby May Erceg,26.5,52.2,0,0
524,2034,48:43,49:03,Abby May Erceg,North Carolina Courage,1st half,24.6,46.7,1,Abby Dahlkemper,33.2,24.7,0,0
525,2036,48:46,49:06,Abby Dahlkemper,North Carolina Courage,1st half,31.3,26.3,1,Stephanie Labbe,16.8,34.0,0,0
526,2040,48:52,49:12,Stephanie Labbe,North Carolina Courage,1st half,20.2,35.7,1,Abby May Erceg,23.1,49.6,0,0
527,2042,48:54,49:14,Abby May Erceg,North Carolina Courage,1st half,23.1,49.6,1,Stephanie Labbe,15.1,34.2,0,0
528,2045,48:58,49:18,Stephanie Labbe,North Carolina Courage,1st half,14.3,34.5,1,Abby Dahlkemper,25.2,9.8,0,0
529,2047,49:01,49:51,Debinha,North Carolina Courage,1st half,98.7,20.4,1,Crystal Alyssia Dunn,97.9,25.4,0,0
530,2048,49:02,49:22,Abby Dahlkemper,North Carolina Courage,1st half,30.0,8.9,1,Jessica Marie McDonald,59.0,6.2,0,0
531,2051,49:04,49:24,Jessica Marie McDonald,North Carolina Courage,1st half,59.0,6.2,1,Debinha,55.9,3.1,0,0
532,2060,49:09,49:29,Debinha,North Carolina Courage,1st half,68.0,3.1,1,Samantha Mewis,71.6,10.5,0,0
533,2064,49:13,49:33,Samantha Mewis,North Carolina Courage,1st half,79.6,16.0,1,Debinha,97.7,16.3,0,0
534,2090,50:19,50:39,Casey Short,Chicago Red Stars,1st half,67.4,56.0,1,Yuki Ogimi-Nagasato,75.4,60.1,0,0
535,2093,50:22,50:42,Yuki Ogimi-Nagasato,Chicago Red Stars,1st half,69.9,61.8,1,Morgan Gautrat,64.5,63.2,0,0
536,2097,50:28,50:48,Morgan Gautrat,Chicago Red Stars,1st half,75.0,35.9,1,Sarah Gorden,83.6,7.9,0,0
537,2103,50:35,50:55,Sarah Gorden,Chicago Red Stars,1st half,92.2,16.8,1,Samantha Kerr,94.7,35.7,1,0
538,2105,50:36,50:56,Samantha Kerr,Chicago Red Stars,1st half,94.7,35.7,1,Vanessa Sue Di Bernardo,90.9,33.0,0,0
